GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
View,default,SudokuField,5,93,1,19,2,27,1,18,0,9
View,default,SudokuBoard,0,526,1,77,0,110,1,55,0,17
View,default,Difficulty,0,21,0,0,0,2,0,1,0,1
View,default,FileSudokuBoardDao,0,78,0,0,0,20,0,5,0,5
View,default,BacktrackingSudokuSolver,5,135,1,23,1,32,2,15,1,4
View,default,SudokuRow,0,15,0,0,0,4,0,2,0,2
View,default,BadContainerSizeException,4,0,0,0,2,0,1,0,1,0
View,default,SudokuBoardDaoFactory,0,8,0,0,0,2,0,2,0,2
View,default,SudokuBox,0,15,0,0,0,4,0,2,0,2
View,default,SudokuColumn,0,15,0,0,0,4,0,2,0,2
View,default,SudokuContainer,5,87,1,13,1,20,1,12,0,6
View,exceptions,LoadFromFileException,0,5,0,0,0,2,0,1,0,1
View,exceptions,WriteToFileException,0,5,0,0,0,2,0,1,0,1
View,exceptions,DaoException,0,5,0,0,0,2,0,1,0,1
